Rank,Title,Issn,SJR
1,Ca-A Cancer Journal for Clinicians,1542-4863,106.094
1,Ca-A Cancer Journal for Clinicians,0007-9235,106.094
2,Foundations and Trends in Machine Learning,1935-8245,37.044
2,Foundations and Trends in Machine Learning,1935-8237,37.044
3,Nature Reviews Molecular Cell Biology,1471-0072,35.91
3,Nature Reviews Molecular Cell Biology,1471-0080,35.91
4,Quarterly Journal of Economics,0033-5533,30.448
4,Quarterly Journal of Economics,1531-4650,30.448
5,Nature Reviews Cancer,1474-175X,26.837
5,Nature Reviews Cancer,1474-1768,26.837
6,Cell,0092-8674,24.342
6,Cell,1097-4172,24.342
7,Nature Reviews Drug Discovery,1474-1784,22.399
7,Nature Reviews Drug Discovery,1474-1776,22.399
8,American Economic Review,1944-7981,22.344
8,American Economic Review,0002-8282,22.344
9,Nature Reviews Materials,2058-8437,21.836
10,Nature Reviews Clinical Oncology,1759-4782,21.048
10,Nature Reviews Clinical Oncology,1759-4774,21.048
11,New England Journal of Medicine,0028-4793,20.544
11,New England Journal of Medicine,1533-4406,20.544
12,Journal of Finance,0022-1082,19.139
12,Journal of Finance,1540-6261,19.139
13,Nature Medicine,1546-170X,19.045
13,Nature Medicine,1078-8956,19.045
14,Current Protocols in Bioinformatics,1934-3396,18.663
14,Current Protocols in Bioinformatics,1934-340X,18.663
15,MMWR supplements,2380-8942,18.587
15,MMWR supplements,2380-8950,18.587
16,Journal of Political Economy,0022-3808,18.53
16,Journal of Political Economy,1537-534X,18.53
17,Nature,1476-4687,18.509
17,Nature,0028-0836,18.509
18,Nature Biotechnology,1546-1696,18.117
18,Nature Biotechnology,1087-0156,18.117
19,Chemical Reviews,1520-6890,17.828
19,Chemical Reviews,0009-2665,17.828
20,Econometrica,0012-9682,17.701
20,Econometrica,1468-0262,17.701
21,Review of Financial Studies,1465-7368,17.654
21,Review of Financial Studies,0893-9454,17.654
22,Cancer Cell,1535-6108,17.507
22,Cancer Cell,1878-3686,17.507
23,Nature Energy,2058-7546,17.497
24,Nature Genetics,1061-4036,17.3
24,Nature Genetics,1546-1718,17.3
25,Reviews of Modern Physics,0034-6861,16.061
25,Reviews of Modern Physics,1539-0756,16.061
26,Nature Reviews Immunology,1474-1741,16.009
26,Nature Reviews Immunology,1474-1733,16.009
27,IEEE Communications Surveys and Tutorials,1553-877X,15.966
28,World Psychiatry,1723-8617,15.827
29,Annual Review of Immunology,1545-3278,15.62
29,Annual Review of Immunology,0732-0582,15.62
30,National Vital Statistics Reports,1551-8922,14.943
30,National Vital Statistics Reports,1551-8930,14.943
31,Nature Methods,1548-7091,14.796
31,Nature Methods,1548-7105,14.796
32,Advances in Physics,1460-6976,14.78
32,Advances in Physics,0001-8732,14.78
33,Nano Research Energy,2791-0091,14.707
33,Nano Research Energy,2790-8119,14.707
34,MMWR Recommendations and Reports,1057-5987,14.618
34,MMWR Recommendations and Reports,1545-8601,14.618
35,Academy of Management Annals,1941-6520,14.605
35,Academy of Management Annals,1941-6067,14.605
36,Nature Nanotechnology,1748-3387,14.577
36,Nature Nanotechnology,1748-3395,14.577
37,Nature Reviews Genetics,1471-0056,14.293
37,Nature Reviews Genetics,1471-0064,14.293
38,Nature Materials,1476-4660,14.231
38,Nature Materials,1476-1122,14.231
39,Administrative Science Quarterly,0001-8392,14.175
39,Administrative Science Quarterly,1930-3815,14.175
40,Annals of Oncology,1569-8041,13.942
40,Annals of Oncology,0923-7534,13.942
41,Annual Review of Astronomy and Astrophysics,1545-4282,13.67
41,Annual Review of Astronomy and Astrophysics,0066-4146,13.67
42,Journal of Financial Economics,0304-405X,13.655
43,Review of Economic Studies,0034-6527,13.609
43,Review of Economic Studies,1467-937X,13.609
44,Immunity,1097-4180,13.578
44,Immunity,1074-7613,13.578
45,Nature Catalysis,2520-1158,13.315
46,Morbidity and Mortality Weekly Report,0149-2195,13.08
46,Morbidity and Mortality Weekly Report,1545-861X,13.08
47,Chemical Society Reviews,0306-0012,12.511
47,Chemical Society Reviews,1460-4744,12.511
48,American Economic Journal: Macroeconomics,1945-7707,12.324
48,American Economic Journal: Macroeconomics,1945-7715,12.324
49,Nature Reviews Methods Primers,2662-8449,12.294
50,eScience,2097-2431,12.288
50,eScience,2667-1417,12.288
51,Proceedings of the IEEE International Conference on Computer Vision,1550-5499,12.263
52,Nature Neuroscience,1097-6256,12.261
52,Nature Neuroscience,1546-1726,12.261
53,Handbook of Econometrics,1573-4412,12.192
54,"Lancet Oncology, The",1470-2045,12.179
54,"Lancet Oncology, The",1474-5488,12.179
55,"Lancet, The",0140-6736,12.113
55,"Lancet, The",1474-547X,12.113
56,Science,1095-9203,11.902
56,Science,0036-8075,11.902
57,Nature Cancer,2662-1347,11.9
58,Journal of Marketing,1547-7185,11.799
58,Journal of Marketing,0022-2429,11.799
59,Annual Review of Pathology: Mechanisms of Disease,1553-4006,11.748
59,Annual Review of Pathology: Mechanisms of Disease,1553-4014,11.748
