,Institution UKPRN code,Institution name,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Output type,Title,Place,Publisher,Volume title,Volume,Issue,First page,Article number,ISBN,ISSN,DOI,Patent number,Month,Year,URL,Number of additional authors,Non-English,Interdisciplinary,Forensic science,Criminology,Propose double weighting,Is reserve output,Research group,Open access status,Citations applicable,Citation count,Cross-referral requested,Supplementary information,Delayed by COVID19,REF2ID,Incl sig material before 2014,Incl reseach process,Incl factual info about significance
31,10007760,Birkbeck College,B,11,Computer Science and Informatics,,,,E,J-Logic: Logical Foundations for JSON Querying,,,Proceedings of the 36th ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems - PODS '17,,,137,,,,10.1145/3034786.3056106,,May,2017.0,https://dl.acm.org/doi/10.1145/3034786.3056106,2.0,,,,,,,3 - Knowledge Representation and Data Management,,Yes,6.0,,,,c9a70b58-e517-4487-9427-8125d4a1edbb,0,0,1
35,10007855,Swansea University / Prifysgol Abertawe,B,11,Computer Science and Informatics,,,,D,Parity Games and Propositional Proofs,,,ACM Transactions on Computational Logic,15,2,17:1,,,1529-3785,10.1145/2579822,,April,2014.0,,,,,,,,,,Out of scope for open access requirements,Yes,6.0,,,,90d2f6de-1e3e-4f12-8bec-a84422ec19be,0,0,1
168,10007794,University of Glasgow,B,11,Computer Science and Informatics,,,,D,"""Almost-stable"" matchings in the Hospitals / Residents problem with Couples",,,Constraints,22,1,50,,,1383-7133,10.1007/s10601-016-9249-7,,January,2017.0,http://eprints.gla.ac.uk/121248/,2.0,,,,,,,,Compliant,Yes,7.0,,,,d2074590-7595-492e-8fbd-63430328c4f7,0,0,1
442,10007784,University College London,B,11,Computer Science and Informatics,,,,E,"""Everyone Is Talking about It!”: A Distributed Approach to Urban Voting Technology and Visualisations",,,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems,2015-April,,3127,,,1062-9432,10.1145/2702123.2702263,,January,2015.0,,2.0,,,,,,,,Out of scope for open access requirements,Yes,37.0,,,,a427d17b-f4ff-4c61-8615-5472ff591c3b,0,0,1
573,10007784,University College London,B,11,Computer Science and Informatics,,,,E,"""I always wanted to see the night sky"": Blind user preferences for sensory substitution devices",,,Conference on Human Factors in Computing Systems - Proceedings,,,2162,,,1062-9432,10.1145/2858036.2858241,,May,2016.0,,4.0,,,,,,,,Technical exception,Yes,12.0,,,,617d7885-86b0-495d-bdfa-7038970bc2ef,0,0,1
577,10007803,University of St Andrews,B,11,Computer Science and Informatics,,,,E,"""I didn't sign up for this!"" : informed consent in social network research",,,Proceedings of the 9th International AAAI Conference on Web and Social Media (ICWSM),,,178,,,,,,May,2015.0,,1.0,,,,,,,A - Artificial Intelligence,,Yes,,,,,c141a811-5dc4-43e5-8e7e-e53a3fb6b866,0,0,1
702,10007784,University College London,B,11,Computer Science and Informatics,,,,E,"""Just Whack It on Until It Gets Hot"": Working with IoT Data in the Home",,,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems,,,5933,,,1062-9432,10.1145/2858036.2858518,,May,2016.0,,6.0,,,,,,,,Technical exception,Yes,17.0,,,,6f21f39b-e88a-4b14-a228-53ab4b6c45c3,0,0,1
940,10007799,University of Newcastle upon Tyne,B,11,Computer Science and Informatics,,,,D,"""Pick Someone Who Can Kick Your Ass"" - Moneywork in Financial Third Party Access",,,Proceedings of the ACM on Human-Computer Interaction,4,CSCW3,,218,,2573-0142,10.1145/3432917,,December,2020.0,https://doi.org/10.1145/3432917,5.0,,Yes,,,,,C - Open Lab,Compliant,Yes,,,,,bbf617ac-7405-4c43-8a28-5e13de05400e,0,0,1
1141,10007798,The University of Manchester,B,11,Computer Science and Informatics,,,,D,"""The Best of Both Worlds!"": Integration of Web Page and Eye Tracking Data Driven Approaches for Automatic AOI Detection",,,ACM Transactions on the Web,14,1,,1,,1559-1131,10.1145/3372497,,January,2020.0,,2.0,,,,,,,A - Computer Science,Compliant,Yes,1.0,,,,15c6a353-4e47-4b87-88ee-0de5df75e51c,0,0,1
1415,10007774,University of Oxford,B,11,Computer Science and Informatics,,,,D,#BIS-hardness for 2-spin systems on bipartite bounded degree graphs in the tree non-uniqueness region,,,Journal of Computer and Systems Sciences International,82,5,690,,,1064-2307,10.1016/j.jcss.2015.11.009,,January,2015.0,,6.0,,,,,,,,Out of scope for open access requirements,Yes,14.0,,,,b4fea1a3-b226-45cc-b718-ac4a2d51cd95,0,0,1
1537,10005500,Robert Gordon University,B,11,Computer Science and Informatics,,,,D,(Re)presenting heritage: laser scanning and 3D visualisations for cultural resilience and community engagement.,,,Journal of Information Science,42,3,420,,,1741-6485,10.1177/0165551516636306,Not Applicable,March,2016.0,,,,,,,,,,Out of scope for open access requirements,Yes,6.0,,,,71e49a66-4f00-47f8-90fa-f5e3169ada8c,0,0,1
1604,10007798,The University of Manchester,B,11,Computer Science and Informatics,,,,E,{AVATAR:} The Architecture for First-Order Theorem Provers,,,"Computer Aided Verification - 26th International Conference, CAV 2014, Held as Part of the Vienna Summer of Logic, VSL 2014, Vienna, Austria, July 18-22, 2014. Proceedings",,,696,,,0302-9743,10.1007/978-3-319-08867-9_46,,July,2014.0,,0.0,,,,,,,A - Computer Science,Out of scope for open access requirements,Yes,25.0,,,,e5a49a17-156a-4543-88df-3bdc3e7b77b4,0,0,1
2755,10007147,University of Hertfordshire,B,11,Computer Science and Informatics,,,,D,‘Teach Me - Show Me’- End-user personalisation of a smart home and companion robot,,,IEEE Transactions on Human-Machine Systems,46,1,29,,,2168-2305,10.1109/THMS.2015.2445105,,November,2015.0,,4.0,,,,,,,,Out of scope for open access requirements,Yes,25.0,,,,087cf7e3-f40c-4080-bd2b-499fb7ede086,0,0,1
