Rank,Title,Issn,SJR
1,Ca-A Cancer Journal for Clinicians,1542-4863,56.204
1,Ca-A Cancer Journal for Clinicians,0007-9235,56.204
2,Nature Reviews Molecular Cell Biology,1471-0072,33.213
2,Nature Reviews Molecular Cell Biology,1471-0080,33.213
3,Quarterly Journal of Economics,0033-5533,31.348
3,Quarterly Journal of Economics,1531-4650,31.348
4,Cell,0092-8674,25.716
4,Cell,1097-4172,25.716
5,MMWR Recommendations and Reports,1057-5987,25.045
5,MMWR Recommendations and Reports,1545-8601,25.045
6,New England Journal of Medicine,0028-4793,24.907
6,New England Journal of Medicine,1533-4406,24.907
7,Nature Medicine,1546-170X,24.161
7,Nature Medicine,1078-8956,24.161
8,Nature Reviews Materials,2058-8437,23.876
9,Proceedings of the IEEE International Conference on Computer Vision,1550-5499,23.032
10,Nature Reviews Genetics,1471-0056,23.027
10,Nature Reviews Genetics,1471-0064,23.027
11,National Vital Statistics Reports,1551-8922,21.728
11,National Vital Statistics Reports,1551-8930,21.728
12,Reviews of Modern Physics,0034-6861,21.151
12,Reviews of Modern Physics,1539-0756,21.151
13,American Economic Review,1944-7981,20.361
13,American Economic Review,0002-8282,20.361
14,Nature Biotechnology,1546-1696,20.12
14,Nature Biotechnology,1087-0156,20.12
15,Chemical Reviews,1520-6890,18.718
15,Chemical Reviews,0009-2665,18.718
16,Journal of Political Economy,0022-3808,18.476
16,Journal of Political Economy,1537-534X,18.476
17,Nature,1476-4687,17.897
17,Nature,0028-0836,17.897
18,Annual Review of Immunology,1545-3278,17.814
18,Annual Review of Immunology,0732-0582,17.814
19,Administrative Science Quarterly,0001-8392,17.357
19,Administrative Science Quarterly,1930-3815,17.357
20,Nature Reviews Immunology,1474-1741,17.109
20,Nature Reviews Immunology,1474-1733,17.109
21,Nature Reviews Cancer,1474-175X,16.955
21,Nature Reviews Cancer,1474-1768,16.955
22,Nature Energy,2058-7546,16.736
23,Nature Genetics,1061-4036,16.517
23,Nature Genetics,1546-1718,16.517
24,Morbidity and Mortality Weekly Report,0149-2195,16.513
24,Morbidity and Mortality Weekly Report,1545-861X,16.513
25,Journal of Finance,0022-1082,16.463
25,Journal of Finance,1540-6261,16.463
26,"Lancet, The",0140-6736,15.652
26,"Lancet, The",1474-547X,15.652
27,Review of Economic Studies,0034-6527,15.527
27,Review of Economic Studies,1467-937X,15.527
28,Academy of Management Annals,1941-6520,14.781
